"TIME","GEO","NACE_R2","UNIT","WAT_PROC","Value","Flag and Footnotes"
"2009","Leipzig","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Sachsen-Anhalt","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Schleswig-Holstein","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Thüringen","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Croatia","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Jadranska Hrvatska","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Kontinentalna Hrvatska","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Burgenland (AT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Niederösterreich","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Wien","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Kärnten","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Steiermark","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Oberösterreich","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Salzburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Tirol","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Vorarlberg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Lódzkie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","89",""
"2009","Mazowieckie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","83",""
"2009","Malopolskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","75",""
"2009","Slaskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","93",""
"2009","Lubelskie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","81",""
"2009","Podkarpackie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","75",""
"2009","Swietokrzyskie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","83",""
"2009","Podlaskie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","87",""
"2009","Wielkopolskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","92",""
"2009","Zachodniopomorskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","93",""
"2009","Lubuskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","89",""
"2009","Dolnoslaskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","91",""
"2009","Opolskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","94",""
"2009","Kujawsko-Pomorskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","91",""
"2009","Warminsko-Mazurskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","89",""
"2009","Pomorskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","93",""
"2009","Nord-Vest","Total - all NACE activities","Percentage","Population connected to public water supply (%)","58",""
"2009","Centru","Total - all NACE activities","Percentage","Population connected to public water supply (%)","58",""
"2009","Nord-Est","Total - all NACE activities","Percentage","Population connected to public water supply (%)","39",""
"2009","Sud-Est","Total - all NACE activities","Percentage","Population connected to public water supply (%)","61",""
"2009","Sud - Muntenia","Total - all NACE activities","Percentage","Population connected to public water supply (%)","50",""
"2009","Bucuresti - Ilfov","Total - all NACE activities","Percentage","Population connected to public water supply (%)","79",""
"2009","Sud-Vest Oltenia","Total - all NACE activities","Percentage","Population connected to public water supply (%)","44",""
"2009","Vest","Total - all NACE activities","Percentage","Population connected to public water supply (%)","63",""
"2009","Stockholm","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Östra Mellansverige","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Småland med öarna","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Sydsverige","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Västsverige","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Norra Mellansverige","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Mellersta Norrland","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Övre Norrland","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Istanbul","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Tekirdag, Edirne, Kirklareli","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Balikesir, Çanakkale","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Izmir","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Aydin, Denizli, Mugla","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Manisa, Afyonkarahisar, Kütahya, Usak","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Bursa, Eskisehir, Bilecik","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Ankara","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Konya, Karaman","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Antalya, Isparta, Burdur","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Adana, Mersin","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Hatay, Kahramanmaras, Osmaniye","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Kayseri, Sivas, Yozgat","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Zonguldak, Karabük, Bartin","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Kastamonu, Çankiri, Sinop","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Samsun, Tokat, Çorum, Amasya","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Erzurum, Erzincan, Bayburt","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Agri, Kars, Igdir, Ardahan","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Malatya, Elazig, Bingöl, Tunceli","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Van, Mus, Bitlis, Hakkari","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Gaziantep, Adiyaman, Kilis","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Sanliurfa, Diyarbakir","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Mardin, Batman, Sirnak, Siirt","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Severozapaden","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.38",""
"2010","Severen tsentralen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.66",""
"2010","Severoiztochen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.91",""
"2010","Yugoiztochen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.73",""
"2010","Yugozapaden","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Yuzhen tsentralen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","97.71",""
"2010","Praha","Total - all NACE activities","Percentage","Population connected to public water supply (%)","101",""
"2010","Strední Cechy","Total - all NACE activities","Percentage","Population connected to public water supply (%)","79",""
"2010","Jihozápad","Total - all NACE activities","Percentage","Population connected to public water supply (%)","86",""
"2010","Severozápad","Total - all NACE activities","Percentage","Population connected to public water supply (%)","96",""
"2010","Severovýchod","Total - all NACE activities","Percentage","Population connected to public water supply (%)","94",""
"2010","Jihovýchod","Total - all NACE activities","Percentage","Population connected to public water supply (%)","96",""
"2010","Strední Morava","Total - all NACE activities","Percentage","Population connected to public water supply (%)","90",""
"2010","Moravskoslezsko","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Stuttgart","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Karlsruhe","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Freiburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2010","Tübingen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Oberbayern","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Niederbayern","Total - all NACE activities","Percentage","Population connected to public water supply (%)","95",""
"2010","Oberpfalz","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Oberfranken","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Mittelfranken","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Unterfranken","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Schwaben","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Berlin","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Brandenburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Bremen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Hamburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Darmstadt","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Gießen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Kassel","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Mecklenburg-Vorpommern","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Braunschweig","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Hannover","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Lüneburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Weser-Ems","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Düsseldorf","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Köln","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Münster","Total - all NACE activities","Percentage","Population connected to public water supply (%)","96",""
"2010","Detmold","Total - all NACE activities","Percentage","Population connected to public water supply (%)","97",""
"2010","Arnsberg","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Koblenz","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Trier","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Rheinhessen-Pfalz","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Saarland","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Dresden","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Chemnitz","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Leipzig","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Sachsen-Anhalt","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Schleswig-Holstein","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Thüringen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Croatia","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Jadranska Hrvatska","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Kontinentalna Hrvatska","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Burgenland (AT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Niederösterreich","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Wien","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Kärnten","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Steiermark","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Oberösterreich","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Salzburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Tirol","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Vorarlberg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2010","Lódzkie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","90",""
"2010","Mazowieckie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","83",""
"2010","Malopolskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","76",""
"2010","Slaskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","93",""
"2010","Lubelskie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","81",""
"2010","Podkarpackie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","76",""
"2010","Swietokrzyskie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","84",""
"2010","Podlaskie (NUTS 2013)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","88",""
"2010","Wielkopolskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","93",""
"2010","Zachodniopomorskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","93",""
"2010","Lubuskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","89",""
"2010","Dolnoslaskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","91",""
"2010","Opolskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","95",""
"2010","Kujawsko-Pomorskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","91",""
"2010","Warminsko-Mazurskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","89",""
"2010","Pomorskie","Total - all NACE activities","Percentage","Population connected to public water supply (%)","93",""
"2010","Nord-Vest","Total - all NACE activities","Percentage","Population connected to public water supply (%)","59",""
"2010","Centru","Total - all NACE activities","Percentage","Population connected to public water supply (%)","59",""
"2010","Nord-Est","Total - all NACE activities","Percentage","Population connected to public water supply (%)","40",""
"2010","Sud-Est","Total - all NACE activities","Percentage","Population connected to public water supply (%)","61",""
"2010","Sud - Muntenia","Total - all NACE activities","Percentage","Population connected to public water supply (%)","50",""
"2010","Bucuresti - Ilfov","Total - all NACE activities","Percentage","Population connected to public water supply (%)","79",""
"2010","Sud-Vest Oltenia","Total - all NACE activities","Percentage","Population connected to public water supply (%)","44",""
"2010","Vest","Total - all NACE activities","Percentage","Population connected to public water supply (%)","64",""
"2010","Stockholm","Total - all NACE activities","Percentage","Population connected to public water supply (%)","94",""
"2010","Östra Mellansverige","Total - all NACE activities","Percentage","Population connected to public water supply (%)","85",""
"2010","Småland med öarna","Total - all NACE activities","Percentage","Population connected to public water supply (%)","81",""
"2010","Sydsverige","Total - all NACE activities","Percentage","Population connected to public water supply (%)","90",""
"2010","Västsverige","Total - all NACE activities","Percentage","Population connected to public water supply (%)","84",""
"2010","Norra Mellansverige","Total - all NACE activities","Percentage","Population connected to public water supply (%)","81",""
"2010","Mellersta Norrland","Total - all NACE activities","Percentage","Population connected to public water supply (%)","81",""
"2010","Övre Norrland","Total - all NACE activities","Percentage","Population connected to public water supply (%)","87",""
"2010","Istanbul","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Tekirdag, Edirne, Kirklareli","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2010","Balikesir, Çanakkale","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2010","Izmir","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Aydin, Denizli, Mugla","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2010","Manisa, Afyonkarahisar, Kütahya, Usak","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Bursa, Eskisehir, Bilecik","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Ankara","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2010","Konya, Karaman","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Antalya, Isparta, Burdur","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Adana, Mersin","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2010","Hatay, Kahramanmaras, Osmaniye","Total - all NACE activities","Percentage","Population connected to public water supply (%)","97",""
"2010","Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2010","Kayseri, Sivas, Yozgat","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Zonguldak, Karabük, Bartin","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Kastamonu, Çankiri, Sinop","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2010","Samsun, Tokat, Çorum, Amasya","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2010","Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane","Total - all NACE activities","Percentage","Population connected to public water supply (%)","90",""
"2010","Erzurum, Erzincan, Bayburt","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2010","Agri, Kars, Igdir, Ardahan","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2010","Malatya, Elazig, Bingöl, Tunceli","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2010","Van, Mus, Bitlis, Hakkari","Total - all NACE activities","Percentage","Population connected to public water supply (%)","96",""
"2010","Gaziantep, Adiyaman, Kilis","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2010","Sanliurfa, Diyarbakir","Total - all NACE activities","Percentage","Population connected to public water supply (%)","97",""
"2010","Mardin, Batman, Sirnak, Siirt","Total - all NACE activities","Percentage","Population connected to public water supply (%)","92",""
"2011","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2011","Severozapaden","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.44",""
"2011","Severen tsentralen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.78",""
"2011","Severoiztochen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.93",""
"2011","Yugoiztochen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.82",""
"2011","Yugozapaden","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.1",""
"2011","Yuzhen tsentralen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","97.94",""
"2011","Praha","Total - all NACE activities","Percentage","Population connected to public water supply (%)","102",""
"2011","Strední Cechy","Total - all NACE activities","Percentage","Population connected to public water supply (%)","79",""
"2011","Jihozápad","Total - all NACE activities","Percentage","Population connected to public water supply (%)","86",""
"2011","Severozápad","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2011","Severovýchod","Total - all NACE activities","Percentage","Population connected to public water supply (%)","94",""
"2011","Jihovýchod","Total - all NACE activities","Percentage","Population connected to public water supply (%)","96",""
"2011","Strední Morava","Total - all NACE activities","Percentage","Population connected to public water supply (%)","92",""
"2011","Moravskoslezsko","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2011","Stuttgart","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Karlsruhe","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Freiburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Tübingen","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Oberbayern","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Niederbayern","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Oberpfalz","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Oberfranken","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Mittelfranken","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Unterfranken","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Schwaben","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Berlin","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Brandenburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Bremen","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Hamburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Darmstadt","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Gießen","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Kassel","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Mecklenburg-Vorpommern","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Braunschweig","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Hannover","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Lüneburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Weser-Ems","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Düsseldorf","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Köln","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Münster","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Detmold","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Arnsberg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Koblenz","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Trier","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Rheinhessen-Pfalz","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Saarland","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Dresden","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Chemnitz","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Leipzig","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Sachsen-Anhalt","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Schleswig-Holstein","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Thüringen","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2011","Croatia","Total - all NACE activities","Percentage","Population connected to public water supply (%)","85.52",""
"2011","Jadranska Hrvatska","Total - all NACE activities","Percentage","Population connected to public water supply (%)","93.52",""
"2011","Kontinentalna Hrvatska","Total - all NACE activities","Percentage","Population connected to public water supply (%)","91",""
