"TIME","GEO","WAT_PROC","WAT_SRC","UNIT","Value","Flag and Footnotes"
"2006","Latvia","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Latvia","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","50.1",""
"2006","Latvia","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","22.2",""
"2006","Latvia","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","209",""
"2006","Lithuania","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","2,081.1",""
"2006","Lithuania","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","134.5",""
"2006","Lithuania","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","82.9",""
"2006","Lithuania","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","32.6",""
"2006","Lithuania","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","2,081",""
"2006","Luxembourg","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Luxembourg","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Luxembourg","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Luxembourg","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Luxembourg","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","0",""
"2006","Hungary","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","4,916.6",""
"2006","Hungary","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","661.3","d"
"2006","Hungary","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","305.4","d"
"2006","Hungary","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","89.2","d"
"2006","Hungary","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","-8,139.1",""
"2006","Malta","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","32.51",""
"2006","Malta","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","13.06",""
"2006","Malta","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","16.95",""
"2006","Malta","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","1",""
"2006","Malta","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","32.51",""
"2006","Netherlands","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","11,053.9",""
"2006","Netherlands","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","1,279.2",""
"2006","Netherlands","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","121.8",""
"2006","Netherlands","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","3,030.3",""
"2006","Netherlands","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","11,053.9",""
"2006","Austria","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Austria","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Austria","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Austria","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Austria","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","0",""
"2006","Poland","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","12,256.7",""
"2006","Poland","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","2,128.7","d"
"2006","Poland","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","1,093","d"
"2006","Poland","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","493.7",""
"2006","Poland","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","11,494.2",""
"2006","Portugal","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Portugal","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","910.9",""
"2006","Portugal","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Portugal","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Portugal","Water abstraction - net","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Romania","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","5,330",""
"2006","Romania","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","1,543",""
"2006","Romania","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","526",""
"2006","Romania","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","787",""
"2006","Romania","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","5,330",""
"2006","Slovenia","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","907",""
"2006","Slovenia","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","166.2",""
"2006","Slovenia","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","6.3","d"
"2006","Slovenia","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","66.2",""
"2006","Slovenia","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","899.8",""
"2006","Slovakia","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","763",""
"2006","Slovakia","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","334.3",""
"2006","Slovakia","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Slovakia","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","359.9",""
"2006","Slovakia","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","14.6",""
"2006","Finland","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","6,562",""
"2006","Finland","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","409.4",""
"2006","Finland","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Finland","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","2,519",""
"2006","Finland","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","6,562",""
"2006","Sweden","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","2,630",""
"2006","Sweden","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","891",""
"2006","Sweden","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","107",""
"2006","Sweden","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","1,406",""
"2006","Sweden","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","2,631",""
"2006","United Kingdom","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","9,270.6",""
"2006","United Kingdom","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","6,206.3",""
"2006","United Kingdom","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","1,440.3",""
"2006","United Kingdom","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","1,361",""
"2006","United Kingdom","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","9,270.6",""
"2006","England and Wales","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","England and Wales","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2006","England and Wales","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","England and Wales","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","England and Wales","Water abstraction - net","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Iceland","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Iceland","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Iceland","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Iceland","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Iceland","Water abstraction - net","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Norway","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Norway","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","833",""
"2006","Norway","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","844.9","e"
"2006","Norway","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","1,105.3","e"
"2006","Norway","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","0",""
"2006","Switzerland","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Switzerland","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","981","d"
"2006","Switzerland","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Switzerland","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Switzerland","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","0",""
"2006","Former Yugoslav Republic of Macedonia, the","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","900",""
"2006","Former Yugoslav Republic of Macedonia, the","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","223.1",""
"2006","Former Yugoslav Republic of Macedonia, the","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","182",""
"2006","Former Yugoslav Republic of Macedonia, the","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","436.1",""
"2006","Former Yugoslav Republic of Macedonia, the","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","900",""
"2006","Albania","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Albania","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Albania","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Albania","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Albania","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","0",""
"2006","Serbia","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","3,941.5",""
"2006","Serbia","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","691",""
"2006","Serbia","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","126.3",""
"2006","Serbia","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","95.3",""
"2006","Serbia","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","3,941.5",""
"2006","Turkey","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","43,717.5","e"
"2006","Turkey","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","5,163.5","d"
"2006","Turkey","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","35,925","d"
"2006","Turkey","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Turkey","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","43,717.5",""
"2006","Bosnia and Herzegovina","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","373.01",""
"2006","Bosnia and Herzegovina","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","344.44",""
"2006","Bosnia and Herzegovina","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","2.45",""
"2006","Bosnia and Herzegovina","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Bosnia and Herzegovina","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","327.5",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","164.4",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","12",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","164.1",""
"2007","Belgium","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","6,217.1",""
"2007","Belgium","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","728.4",""
"2007","Belgium","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","36.9",""
"2007","Belgium","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","1,288.2",""
"2007","Belgium","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","6,185.6",""
"2007","Bulgaria","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","6,201.78",""
"2007","Bulgaria","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","1,026.36",""
"2007","Bulgaria","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","1,015.27",""
"2007","Bulgaria","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","228.04",""
"2007","Bulgaria","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","6,199.92",""
"2007","Czech Republic","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","1,969.3",""
"2007","Czech Republic","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","701.7",""
"2007","Czech Republic","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","29.8",""
"2007","Czech Republic","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","303.8",""
"2007","Czech Republic","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","1,897.2",""
"2007","Denmark","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","570.6",""
"2007","Denmark","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","405.7",""
"2007","Denmark","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","117.5",""
"2007","Denmark","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","40.5",""
"2007","Denmark","Water abstraction - net","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Germany (until 1990 former territory of the FRG)","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","32,301.1",""
"2007","Germany (until 1990 former territory of the FRG)","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","5,127.6",""
"2007","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","131.7",""
"2007","Germany (until 1990 former territory of the FRG)","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","4,896.8",""
"2007","Germany (until 1990 former territory of the FRG)","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","31,173.7",""
"2007","Estonia","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","1,834.3",""
"2007","Estonia","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","47.8",""
"2007","Estonia","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","7.6",""
"2007","Estonia","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","39.5",""
"2007","Estonia","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","1,641",""
"2007","Ireland","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","730",""
"2007","Ireland","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","609",""
"2007","Ireland","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Ireland","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Ireland","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","730",""
"2007","Greece","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","9,538.6",""
"2007","Greece","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","846.2",""
"2007","Greece","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","8,457.9",""
"2007","Greece","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Greece","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","9,440.1",""
"2007","Spain","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","35,573",""
"2007","Spain","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","5,790",""
"2007","Spain","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","23,180",""
"2007","Spain","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","645",""
"2007","Spain","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","35,573",""
"2007","France","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","31,310.04","d"
"2007","France","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","5,682.97","d"
"2007","France","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","3,932.85","d"
"2007","France","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","3,107.78","d"
"2007","France","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","31,410.04",""
"2007","Croatia","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Croatia","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","491.5",""
"2007","Croatia","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","3.2",""
"2007","Croatia","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","45.8",""
"2007","Croatia","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","464.33",""
"2007","Italy","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Italy","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Italy","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Italy","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Italy","Water abstraction - net","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Cyprus","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","216.2",""
"2007","Cyprus","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","65.6",""
"2007","Cyprus","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","143",""
"2007","Cyprus","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Cyprus","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","208.6",""
"2007","Latvia","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","218.38",""
"2007","Latvia","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","109.45",""
"2007","Latvia","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","50.7",""
"2007","Latvia","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","27.75",""
"2007","Latvia","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","218.37",""
"2007","Lithuania","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","2,269",""
"2007","Lithuania","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","132.5",""
"2007","Lithuania","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","81.8",""
"2007","Lithuania","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","33.9",""
"2007","Lithuania","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","2,269",""
"2007","Luxembourg","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Luxembourg","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Luxembourg","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Luxembourg","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Luxembourg","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","0",""
"2007","Hungary","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","5,278.7",""
"2007","Hungary","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","666.6",""
"2007","Hungary","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Hungary","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","80.9",""
"2007","Hungary","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","5,278.7",""
"2007","Malta","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","36.76",""
"2007","Malta","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","13.96",""
"2007","Malta","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","20.3",""
"2007","Malta","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","1",""
"2007","Malta","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","36.76",""
"2007","Netherlands","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","10,949.6",""
"2007","Netherlands","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","1,248.4",""
"2007","Netherlands","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","71.9",""
"2007","Netherlands","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","3,035",""
"2007","Netherlands","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","10,949.6",""
"2007","Austria","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Austria","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Austria","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Austria","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2007","Austria","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","0",""
"2007","Poland","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","12,027",""
"2007","Poland","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","2,085.6","d"
"2007","Poland","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","1,122","d"
