"TIME","RBD","NACE_R2","UNIT","WAT_PROC","Value","Flag and Footnotes"
"2001","Saale, Obere Moldau, Berounka, Eger and lower Elbe","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Mittelelbe-Elde","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Havel","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Tide-Elbe","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Oder / Odra - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Maas / Meuse - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Eider - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Schlei-Trave - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Warnow-Peene - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Croatia","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Danube - RBD (HR)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Drava and Danube sub-basin","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Sava sub-basin","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Adriatic - RBD (HR)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Cyprus","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2001","Cyprus - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2001","Moselle - RBD (LU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2001","Meuse / Maas - RBD (LU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2001","Hungary","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Danube - RBD (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Balaton","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Dráva / Drau (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Danube (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Tisza / Tysa (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Malta","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2001","Malta - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2001","Maas / Meuse - RBD (NL)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Rhine - RBD (NL)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Schelde / Escaut - RBD (NL)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Minho and Lima - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Cavado, Ave and Leca - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Douro - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Vouga, Mondego and Lis - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Tagus and Western Basins - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Sado and Mira - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Guadiana - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Algarve Basins - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Azores - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Madeira - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Romania","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Danube - RBD (RO)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Banat","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Siret","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Prut-Barlad","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Jiu","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Olt","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Arges-Vedea","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Ialomita-Buzau","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Dobrogea","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Mures","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Crisuri","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Somes-Tisa (RO)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Bothnian Bay - RBD (SE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Bothnian Sea - RBD (SE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","North Baltic Sea - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","South Baltic Sea - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Skagerrak and Kattegat - RBD (SE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Rhine - RBD (CH)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Rhône - RBD (CH)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Po - RBD (CH)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Danube - RBD (CH)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Former Yugoslav Republic of Macedonia, the","Total - all NACE activities","Percentage","Population connected to public water supply (%)","93",""
"2002","Scheldt/Escaut - RBD (BE-Brussels)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2002","Schelde/Escaut - RBD (BE-Flemish region)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Maas/Meuse - RBD (BE-Flemish region)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Danube - RBD (BG)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2002","Black Sea - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2002","East Aegean - RBD (BG)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2002","West Aegean - RBD (BG)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","97",""
"2002","Danube - RBD (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Dyje / Thaya","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Morava / March (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Labe / Elbe - RBD (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Upper and middle Labe / Elbe (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Upper Vltava / Moldau","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Berounka","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Lower Vltava / Moldau","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Ohre and lower Labe / Elbe (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Odra / Oder - RBD (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Danube - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Rhine - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Lake Constance/Alpine Rhine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Hochrhein","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Oberrhein","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Neckar","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Main","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Moselle-Saar (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Middle Rhine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Lower Rhine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Rhine delta","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Ems - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Upper Ems, Ems-Nordradde, Hase","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Leda-Jümme, lower Ems, Ems-estuary","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Weser - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Werra","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Fulda-Diemel","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Weser","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Aller","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Leine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Tide-Weser","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Elbe / Labe - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Mulde-Elbe-Schwarze Elster","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Saale, Obere Moldau, Berounka, Eger and lower Elbe","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Mittelelbe-Elde","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Havel","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Tide-Elbe","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Oder / Odra - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Maas / Meuse - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Eider - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Schlei-Trave - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Warnow-Peene - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Croatia","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Danube - RBD (HR)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Drava and Danube sub-basin","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Sava sub-basin","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Adriatic - RBD (HR)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Cyprus","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2002","Cyprus - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2002","Moselle - RBD (LU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2002","Meuse / Maas - RBD (LU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2002","Hungary","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Danube - RBD (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Balaton","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Dráva / Drau (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Danube (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Tisza / Tysa (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Malta","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2002","Malta - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2002","Maas / Meuse - RBD (NL)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Rhine - RBD (NL)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Schelde / Escaut - RBD (NL)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Minho and Lima - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Cavado, Ave and Leca - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Douro - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Vouga, Mondego and Lis - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Tagus and Western Basins - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Sado and Mira - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Guadiana - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Algarve Basins - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Azores - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Madeira - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Romania","Total - all NACE activities","Percentage","Population connected to public water supply (%)","54",""
"2002","Danube - RBD (RO)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","54",""
"2002","Banat","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Siret","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Prut-Barlad","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Jiu","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2002","Olt","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
