TIME,RBD,UNIT,WW_TP,Value,Flag and Footnotes
2000,Maas/Meuse - RBD (BE-Flemish region),Thousand,Resident population,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Percentage,Urban wastewater collecting system,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Percentage,Independent wastewater treatment - total,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Percentage,Resident population,:,
2000,Bulgaria,Thousand,Urban wastewater collecting system,:,
2000,Bulgaria,Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Bulgaria,Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Bulgaria,Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Bulgaria,Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Bulgaria,Thousand,Independent wastewater treatment - total,:,
2000,Bulgaria,Thousand,Resident population,8149.48,
2000,Bulgaria,Percentage,Urban wastewater collecting system,270,
2000,Bulgaria,Percentage,Urban and other wastewater treatment plants - primary treatment,3.8,
2000,Bulgaria,Percentage,Urban and other wastewater treatment plants - secondary treatment,142.9,
2000,Bulgaria,Percentage,Urban and other wastewater treatment plants - tertiary treatment,0,
2000,Bulgaria,Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,123.4,
2000,Bulgaria,Percentage,Independent wastewater treatment - total,130,
2000,Bulgaria,Percentage,Resident population,:,
2000,Danube - RBD (BG),Thousand,Urban wastewater collecting system,:,
2000,Danube - RBD (BG),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Danube - RBD (BG),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Danube - RBD (BG),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Danube - RBD (BG),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Danube - RBD (BG),Thousand,Independent wastewater treatment - total,:,
2000,Danube - RBD (BG),Thousand,Resident population,3807.91,
2000,Danube - RBD (BG),Percentage,Urban wastewater collecting system,67,
2000,Danube - RBD (BG),Percentage,Urban and other wastewater treatment plants - primary treatment,0.8,
2000,Danube - RBD (BG),Percentage,Urban and other wastewater treatment plants - secondary treatment,43.7,
2000,Danube - RBD (BG),Percentage,Urban and other wastewater treatment plants - tertiary treatment,0,
2000,Danube - RBD (BG),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,22.5,
2000,Danube - RBD (BG),Percentage,Independent wastewater treatment - total,33,
2000,Danube - RBD (BG),Percentage,Resident population,:,
2000,Black Sea - RBD,Thousand,Urban wastewater collecting system,:,
2000,Black Sea - RBD,Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Black Sea - RBD,Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Black Sea - RBD,Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Black Sea - RBD,Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Black Sea - RBD,Thousand,Independent wastewater treatment - total,:,
2000,Black Sea - RBD,Thousand,Resident population,1151.86,
2000,Black Sea - RBD,Percentage,Urban wastewater collecting system,71.2,
2000,Black Sea - RBD,Percentage,Urban and other wastewater treatment plants - primary treatment,2.5,
2000,Black Sea - RBD,Percentage,Urban and other wastewater treatment plants - secondary treatment,49.7,
2000,Black Sea - RBD,Percentage,Urban and other wastewater treatment plants - tertiary treatment,0,
2000,Black Sea - RBD,Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,19,
2000,Black Sea - RBD,Percentage,Independent wastewater treatment - total,28.8,
2000,Black Sea - RBD,Percentage,Resident population,:,
2000,East Aegean - RBD (BG),Thousand,Urban wastewater collecting system,:,
2000,East Aegean - RBD (BG),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,East Aegean - RBD (BG),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,East Aegean - RBD (BG),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,East Aegean - RBD (BG),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,East Aegean - RBD (BG),Thousand,Independent wastewater treatment - total,:,
2000,East Aegean - RBD (BG),Thousand,Resident population,2514.41,
2000,East Aegean - RBD (BG),Percentage,Urban wastewater collecting system,64,
2000,East Aegean - RBD (BG),Percentage,Urban and other wastewater treatment plants - primary treatment,0.4,
2000,East Aegean - RBD (BG),Percentage,Urban and other wastewater treatment plants - secondary treatment,20.2,
2000,East Aegean - RBD (BG),Percentage,Urban and other wastewater treatment plants - tertiary treatment,0,
2000,East Aegean - RBD (BG),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,43.5,
2000,East Aegean - RBD (BG),Percentage,Independent wastewater treatment - total,36,
2000,East Aegean - RBD (BG),Percentage,Resident population,:,
2000,West Aegean - RBD (BG),Thousand,Urban wastewater collecting system,:,
2000,West Aegean - RBD (BG),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,West Aegean - RBD (BG),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,West Aegean - RBD (BG),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,West Aegean - RBD (BG),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,West Aegean - RBD (BG),Thousand,Independent wastewater treatment - total,:,
2000,West Aegean - RBD (BG),Thousand,Resident population,675.3,
2000,West Aegean - RBD (BG),Percentage,Urban wastewater collecting system,67.8,
2000,West Aegean - RBD (BG),Percentage,Urban and other wastewater treatment plants - primary treatment,0.1,
2000,West Aegean - RBD (BG),Percentage,Urban and other wastewater treatment plants - secondary treatment,29.3,
2000,West Aegean - RBD (BG),Percentage,Urban and other wastewater treatment plants - tertiary treatment,0,
2000,West Aegean - RBD (BG),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,38.4,
2000,West Aegean - RBD (BG),Percentage,Independent wastewater treatment - total,32.2,
2000,West Aegean - RBD (BG),Percentage,Resident population,:,
2000,Danube - RBD (CZ),Thousand,Urban wastewater collecting system,:,
2000,Danube - RBD (CZ),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Danube - RBD (CZ),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Danube - RBD (CZ),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Danube - RBD (CZ),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Danube - RBD (CZ),Thousand,Independent wastewater treatment - total,:,
2000,Danube - RBD (CZ),Thousand,Resident population,:,
2000,Danube - RBD (CZ),Percentage,Urban wastewater collecting system,:,
2000,Danube - RBD (CZ),Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Danube - RBD (CZ),Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Danube - RBD (CZ),Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Danube - RBD (CZ),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Danube - RBD (CZ),Percentage,Independent wastewater treatment - total,:,
2000,Danube - RBD (CZ),Percentage,Resident population,:,
2000,Dyje / Thaya,Thousand,Urban wastewater collecting system,:,
2000,Dyje / Thaya,Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Dyje / Thaya,Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Dyje / Thaya,Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Dyje / Thaya,Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Dyje / Thaya,Thousand,Independent wastewater treatment - total,:,
2000,Dyje / Thaya,Thousand,Resident population,:,
2000,Dyje / Thaya,Percentage,Urban wastewater collecting system,:,
2000,Dyje / Thaya,Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Dyje / Thaya,Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Dyje / Thaya,Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Dyje / Thaya,Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Dyje / Thaya,Percentage,Independent wastewater treatment - total,:,
2000,Dyje / Thaya,Percentage,Resident population,:,
2000,Morava / March (CZ),Thousand,Urban wastewater collecting system,:,
2000,Morava / March (CZ),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Morava / March (CZ),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Morava / March (CZ),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Morava / March (CZ),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Morava / March (CZ),Thousand,Independent wastewater treatment - total,:,
2000,Morava / March (CZ),Thousand,Resident population,:,
2000,Morava / March (CZ),Percentage,Urban wastewater collecting system,:,
2000,Morava / March (CZ),Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Morava / March (CZ),Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Morava / March (CZ),Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Morava / March (CZ),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Morava / March (CZ),Percentage,Independent wastewater treatment - total,:,
2000,Morava / March (CZ),Percentage,Resident population,:,
2000,Labe / Elbe - RBD (CZ),Thousand,Urban wastewater collecting system,:,
2000,Labe / Elbe - RBD (CZ),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Labe / Elbe - RBD (CZ),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Labe / Elbe - RBD (CZ),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Labe / Elbe - RBD (CZ),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Labe / Elbe - RBD (CZ),Thousand,Independent wastewater treatment - total,:,
2000,Labe / Elbe - RBD (CZ),Thousand,Resident population,:,
2000,Labe / Elbe - RBD (CZ),Percentage,Urban wastewater collecting system,:,
2000,Labe / Elbe - RBD (CZ),Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Labe / Elbe - RBD (CZ),Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Labe / Elbe - RBD (CZ),Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Labe / Elbe - RBD (CZ),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Labe / Elbe - RBD (CZ),Percentage,Independent wastewater treatment - total,:,
2000,Labe / Elbe - RBD (CZ),Percentage,Resident population,:,
2000,Upper and middle Labe / Elbe (CZ),Thousand,Urban wastewater collecting system,:,
2000,Upper and middle Labe / Elbe (CZ),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Upper and middle Labe / Elbe (CZ),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Upper and middle Labe / Elbe (CZ),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Upper and middle Labe / Elbe (CZ),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Upper and middle Labe / Elbe (CZ),Thousand,Independent wastewater treatment - total,:,
2000,Upper and middle Labe / Elbe (CZ),Thousand,Resident population,:,
2000,Upper and middle Labe / Elbe (CZ),Percentage,Urban wastewater collecting system,:,
2000,Upper and middle Labe / Elbe (CZ),Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Upper and middle Labe / Elbe (CZ),Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Upper and middle Labe / Elbe (CZ),Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Upper and middle Labe / Elbe (CZ),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Upper and middle Labe / Elbe (CZ),Percentage,Independent wastewater treatment - total,:,
2000,Upper and middle Labe / Elbe (CZ),Percentage,Resident population,:,
2000,Upper Vltava / Moldau,Thousand,Urban wastewater collecting system,:,
2000,Upper Vltava / Moldau,Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Upper Vltava / Moldau,Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Upper Vltava / Moldau,Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Upper Vltava / Moldau,Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Upper Vltava / Moldau,Thousand,Independent wastewater treatment - total,:,
2000,Upper Vltava / Moldau,Thousand,Resident population,:,
2000,Upper Vltava / Moldau,Percentage,Urban wastewater collecting system,:,
2000,Upper Vltava / Moldau,Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Upper Vltava / Moldau,Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Upper Vltava / Moldau,Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Upper Vltava / Moldau,Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Upper Vltava / Moldau,Percentage,Independent wastewater treatment - total,:,
2000,Upper Vltava / Moldau,Percentage,Resident population,:,
2000,Berounka,Thousand,Urban wastewater collecting system,:,
2000,Berounka,Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Berounka,Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Berounka,Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Berounka,Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Berounka,Thousand,Independent wastewater treatment - total,:,
2000,Berounka,Thousand,Resident population,:,
2000,Berounka,Percentage,Urban wastewater collecting system,:,
2000,Berounka,Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Berounka,Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Berounka,Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Berounka,Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Berounka,Percentage,Independent wastewater treatment - total,:,
2000,Berounka,Percentage,Resident population,:,
2000,Lower Vltava / Moldau,Thousand,Urban wastewater collecting system,:,
2000,Lower Vltava / Moldau,Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Lower Vltava / Moldau,Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Lower Vltava / Moldau,Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Lower Vltava / Moldau,Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Lower Vltava / Moldau,Thousand,Independent wastewater treatment - total,:,
2000,Lower Vltava / Moldau,Thousand,Resident population,:,
2000,Lower Vltava / Moldau,Percentage,Urban wastewater collecting system,:,
2000,Lower Vltava / Moldau,Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Lower Vltava / Moldau,Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Lower Vltava / Moldau,Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Lower Vltava / Moldau,Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Lower Vltava / Moldau,Percentage,Independent wastewater treatment - total,:,
2000,Lower Vltava / Moldau,Percentage,Resident population,:,
2000,Ohre and lower Labe / Elbe (CZ),Thousand,Urban wastewater collecting system,:,
2000,Ohre and lower Labe / Elbe (CZ),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Ohre and lower Labe / Elbe (CZ),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Ohre and lower Labe / Elbe (CZ),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Ohre and lower Labe / Elbe (CZ),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Ohre and lower Labe / Elbe (CZ),Thousand,Independent wastewater treatment - total,:,
2000,Ohre and lower Labe / Elbe (CZ),Thousand,Resident population,:,
2000,Ohre and lower Labe / Elbe (CZ),Percentage,Urban wastewater collecting system,:,
2000,Ohre and lower Labe / Elbe (CZ),Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Ohre and lower Labe / Elbe (CZ),Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Ohre and lower Labe / Elbe (CZ),Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Ohre and lower Labe / Elbe (CZ),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Ohre and lower Labe / Elbe (CZ),Percentage,Independent wastewater treatment - total,:,
2000,Ohre and lower Labe / Elbe (CZ),Percentage,Resident population,:,
2000,Odra / Oder - RBD (CZ),Thousand,Urban wastewater collecting system,:,
2000,Odra / Oder - RBD (CZ),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Odra / Oder - RBD (CZ),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Odra / Oder - RBD (CZ),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Odra / Oder - RBD (CZ),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Odra / Oder - RBD (CZ),Thousand,Independent wastewater treatment - total,:,
2000,Odra / Oder - RBD (CZ),Thousand,Resident population,:,
2000,Odra / Oder - RBD (CZ),Percentage,Urban wastewater collecting system,:,
2000,Odra / Oder - RBD (CZ),Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Odra / Oder - RBD (CZ),Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Odra / Oder - RBD (CZ),Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Odra / Oder - RBD (CZ),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Odra / Oder - RBD (CZ),Percentage,Independent wastewater treatment - total,:,
2000,Odra / Oder - RBD (CZ),Percentage,Resident population,:,
2000,Danube - RBD (DE),Thousand,Urban wastewater collecting system,:,
2000,Danube - RBD (DE),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Danube - RBD (DE),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Danube - RBD (DE),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Danube - RBD (DE),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Danube - RBD (DE),Thousand,Independent wastewater treatment - total,:,
2000,Danube - RBD (DE),Thousand,Resident population,:,
2000,Danube - RBD (DE),Percentage,Urban wastewater collecting system,:,
2000,Danube - RBD (DE),Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Danube - RBD (DE),Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Danube - RBD (DE),Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Danube - RBD (DE),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Danube - RBD (DE),Percentage,Independent wastewater treatment - total,:,
2000,Danube - RBD (DE),Percentage,Resident population,:,
2000,Rhine - RBD (DE),Thousand,Urban wastewater collecting system,:,
2000,Rhine - RBD (DE),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Rhine - RBD (DE),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Rhine - RBD (DE),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Rhine - RBD (DE),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Rhine - RBD (DE),Thousand,Independent wastewater treatment - total,:,
2000,Rhine - RBD (DE),Thousand,Resident population,:,
2000,Rhine - RBD (DE),Percentage,Urban wastewater collecting system,:,
2000,Rhine - RBD (DE),Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Rhine - RBD (DE),Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Rhine - RBD (DE),Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Rhine - RBD (DE),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Rhine - RBD (DE),Percentage,Independent wastewater treatment - total,:,
2000,Rhine - RBD (DE),Percentage,Resident population,:,
2000,Lake Constance/Alpine Rhine,Thousand,Urban wastewater collecting system,:,
2000,Lake Constance/Alpine Rhine,Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Lake Constance/Alpine Rhine,Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Lake Constance/Alpine Rhine,Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Lake Constance/Alpine Rhine,Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Lake Constance/Alpine Rhine,Thousand,Independent wastewater treatment - total,:,
2000,Lake Constance/Alpine Rhine,Thousand,Resident population,:,
2000,Lake Constance/Alpine Rhine,Percentage,Urban wastewater collecting system,:,
2000,Lake Constance/Alpine Rhine,Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Lake Constance/Alpine Rhine,Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Lake Constance/Alpine Rhine,Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Lake Constance/Alpine Rhine,Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Lake Constance/Alpine Rhine,Percentage,Independent wastewater treatment - total,:,
2000,Lake Constance/Alpine Rhine,Percentage,Resident population,:,
2000,Hochrhein,Thousand,Urban wastewater collecting system,:,
2000,Hochrhein,Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Hochrhein,Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Hochrhein,Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Hochrhein,Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Hochrhein,Thousand,Independent wastewater treatment - total,:,
2000,Hochrhein,Thousand,Resident population,:,
2000,Hochrhein,Percentage,Urban wastewater collecting system,:,
2000,Hochrhein,Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Hochrhein,Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Hochrhein,Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Hochrhein,Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Hochrhein,Percentage,Independent wastewater treatment - total,:,
2000,Hochrhein,Percentage,Resident population,:,
2000,Oberrhein,Thousand,Urban wastewater collecting system,:,
2000,Oberrhein,Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Oberrhein,Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Oberrhein,Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Oberrhein,Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Oberrhein,Thousand,Independent wastewater treatment - total,:,
2000,Oberrhein,Thousand,Resident population,:,
2000,Oberrhein,Percentage,Urban wastewater collecting system,:,
2000,Oberrhein,Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Oberrhein,Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Oberrhein,Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Oberrhein,Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Oberrhein,Percentage,Independent wastewater treatment - total,:,
2000,Oberrhein,Percentage,Resident population,:,
2000,Neckar,Thousand,Urban wastewater collecting system,:,
2000,Neckar,Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Neckar,Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Neckar,Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Neckar,Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Neckar,Thousand,Independent wastewater treatment - total,:,
2000,Neckar,Thousand,Resident population,:,
2000,Neckar,Percentage,Urban wastewater collecting system,:,
2000,Neckar,Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Neckar,Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Neckar,Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
